"Code";"Name";"total;2023;[%]";
0000000;"POLAND";5.1;
0200000;"DOLNOŚLĄSKIE";4.4;
0201000;"Powiat bolesławiecki";2.8;
0202000;"Powiat dzierżoniowski";5.6;
0203000;"Powiat głogowski";6.5;
0204000;"Powiat górowski";14.2;
0205000;"Powiat jaworski";9.7;
0206000;"Powiat karkonoski";8.5;
0207000;"Powiat kamiennogórski";6.1;
0208000;"Powiat kłodzki";11.7;
0209000;"Powiat legnicki";7.3;
0210000;"Powiat lubański";6.7;
0211000;"Powiat lubiński";3.8;
0212000;"Powiat lwówecki";8.7;
0213000;"Powiat milicki";6.4;
0214000;"Powiat oleśnicki";5.8;
0215000;"Powiat oławski";3.9;
0216000;"Powiat polkowicki";4.3;
0217000;"Powiat strzeliński";10.4;
0218000;"Powiat średzki";4.6;
0219000;"Powiat świdnicki";5.9;
0220000;"Powiat trzebnicki";5.0;
0221000;"Powiat wałbrzyski";11.7;
0222000;"Powiat wołowski";11.2;
0223000;"Powiat wrocławski";1.4;
0224000;"Powiat ząbkowicki";10.1;
0225000;"Powiat zgorzelecki";5.0;
0226000;"Powiat złotoryjski";13.3;
0261000;"City with powiat status Jelenia Góra";3.9;
0262000;"City with powiat status Legnica";4.5;
0264000;"City with powiat status Wrocław";1.6;
0265000;"City with powiat status Wałbrzych since 2013";4.4;
0400000;"KUJAWSKO-POMORSKIE";7.1;
0401000;"Powiat aleksandrowski";10.9;
0402000;"Powiat brodnicki";6.7;
0403000;"Powiat bydgoski";3.1;
0404000;"Powiat chełmiński";11.8;
0405000;"Powiat golubsko-dobrzyński";10.2;
0406000;"Powiat grudziądzki";10.5;
0407000;"Powiat inowrocławski";10.6;
0408000;"Powiat lipnowski";13.0;
0409000;"Powiat mogileński";9.7;
0410000;"Powiat nakielski";9.8;
0411000;"Powiat radziejowski";16.0;
0412000;"Powiat rypiński";9.0;
0413000;"Powiat sępoleński";11.5;
0414000;"Powiat świecki";6.3;
0415000;"Powiat toruński";8.0;
0416000;"Powiat tucholski";10.8;
0417000;"Powiat wąbrzeski";12.3;
0418000;"Powiat włocławski";12.8;
0419000;"Powiat żniński";9.1;
0461000;"City with powiat status Bydgoszcz";2.2;
0462000;"City with powiat status Grudziądz";9.2;
0463000;"City with powiat status Toruń";3.1;
0464000;"City with powiat status Włocławek";8.2;
0600000;"LUBELSKIE";7.6;
0601000;"Powiat bialski";8.7;
0602000;"Powiat biłgorajski";6.1;
0603000;"Powiat chełmski";12.3;
0604000;"Powiat hrubieszowski";15.3;
0605000;"Powiat janowski";11.8;
0606000;"Powiat krasnostawski";14.0;
0607000;"Powiat kraśnicki";11.2;
0608000;"Powiat lubartowski";11.9;
0609000;"Powiat lubelski";5.7;
0610000;"Powiat łęczyński";5.4;
0611000;"Powiat łukowski";3.9;
0612000;"Powiat opolski";9.3;
0613000;"Powiat parczewski";8.0;
0614000;"Powiat puławski";5.9;
0615000;"Powiat radzyński";7.6;
0616000;"Powiat rycki";6.8;
0617000;"Powiat świdnicki";7.1;
0618000;"Powiat tomaszowski";9.6;
0619000;"Powiat włodawski";15.6;
0620000;"Powiat zamojski";10.6;
0661000;"City with powiat status Biała Podlaska";7.0;
0662000;"City with powiat status Chełm";8.3;
0663000;"City with powiat status Lublin";4.2;
0664000;"City with powiat status Zamość";7.9;
0800000;"LUBUSKIE";4.3;
0801000;"Powiat gorzowski";3.3;
0802000;"Powiat krośnieński";6.2;
0803000;"Powiat międzyrzecki";7.1;
0804000;"Powiat nowosolski";5.5;
0805000;"Powiat słubicki";2.2;
0806000;"Powiat strzelecko-drezdenecki";9.0;
0807000;"Powiat sulęciński";4.4;
0808000;"Powiat świebodziński";2.5;
0809000;"Powiat zielonogórski";6.6;
0810000;"Powiat żagański";5.2;
0811000;"Powiat żarski";5.0;
0812000;"Powiat wschowski";7.5;
0861000;"City with powiat status Gorzów Wielkopolski";2.2;
0862000;"City with powiat status Zielona Góra";2.9;
1000000;"ŁÓDZKIE";5.4;
1001000;"Powiat bełchatowski";4.7;
1002000;"Powiat kutnowski";7.8;
1003000;"Powiat łaski";7.5;
1004000;"Powiat łęczycki";5.7;
1005000;"Powiat łowicki";4.6;
1006000;"Powiat łódzki wschodni";5.7;
1007000;"Powiat opoczyński";8.5;
1008000;"Powiat pabianicki";5.6;
1009000;"Powiat pajęczański";8.2;
1010000;"Powiat piotrkowski";6.2;
1011000;"Powiat poddębicki";7.3;
1012000;"Powiat radomszczański";5.0;
1013000;"Powiat rawski";3.2;
1014000;"Powiat sieradzki";5.4;
1015000;"Powiat skierniewicki";4.0;
1016000;"Powiat tomaszowski";7.7;
1017000;"Powiat wieluński";6.1;
1018000;"Powiat wieruszowski";4.6;
1019000;"Powiat zduńskowolski";6.8;
1020000;"Powiat zgierski";5.3;
1021000;"Powiat brzeziński";7.4;
1061000;"City with powiat status Łódź";4.4;
1062000;"City with powiat status Piotrków Trybunalski";5.4;
1063000;"City with powiat status Skierniewice";4.7;
1200000;"MAŁOPOLSKIE";4.2;
1201000;"Powiat bocheński";2.3;
1202000;"Powiat brzeski";4.9;
1203000;"Powiat chrzanowski";6.1;
1204000;"Powiat dąbrowski";12.3;
1205000;"Powiat gorlicki";6.1;
1206000;"Powiat krakowski";4.3;
1207000;"Powiat limanowski";7.2;
1208000;"Powiat miechowski";5.2;
1209000;"Powiat myślenicki";3.0;
1210000;"Powiat nowosądecki";8.7;
1211000;"Powiat nowotarski";4.9;
1212000;"Powiat olkuski";6.7;
1213000;"Powiat oświęcimski";4.9;
1214000;"Powiat proszowicki";6.3;
1215000;"Powiat suski";4.8;
1216000;"Powiat tarnowski";6.7;
1217000;"Powiat tatrzański";8.0;
1218000;"Powiat wadowicki";5.5;
1219000;"Powiat wielicki";3.2;
1261000;"City with powiat status Kraków";1.9;
1262000;"City with powiat status Nowy Sącz";3.6;
1263000;"City with powiat status Tarnów";4.1;
1400000;"MAZOWIECKIE";4.0;
1401000;"Powiat białobrzeski";7.4;
1402000;"Powiat ciechanowski";8.0;
1403000;"Powiat garwoliński";9.0;
1404000;"Powiat gostyniński";11.8;
1405000;"Powiat grodziski";2.7;
1406000;"Powiat grójecki";2.7;
1407000;"Powiat kozienicki";9.8;
1408000;"Powiat legionowski";5.7;
1409000;"Powiat lipski";12.9;
1410000;"Powiat łosicki";4.9;
1411000;"Powiat makowski";16.4;
1412000;"Powiat miński";4.5;
1413000;"Powiat mławski";5.9;
1414000;"Powiat nowodworski";5.5;
1415000;"Powiat ostrołęcki";9.4;
1416000;"Powiat ostrowski";8.7;
1417000;"Powiat otwocki";3.3;
1418000;"Powiat piaseczyński";3.4;
1419000;"Powiat płocki";9.6;
1420000;"Powiat płoński";10.0;
1421000;"Powiat pruszkowski";2.1;
1422000;"Powiat przasnyski";9.4;
1423000;"Powiat przysuski";18.6;
1424000;"Powiat pułtuski";13.4;
1425000;"Powiat radomski";16.3;
1426000;"Powiat siedlecki";4.8;
1427000;"Powiat sierpecki";11.6;
1428000;"Powiat sochaczewski";2.4;
1429000;"Powiat sokołowski";5.1;
1430000;"Powiat szydłowiecki";24.1;
1432000;"Powiat warszawski zachodni";1.6;
1433000;"Powiat węgrowski";5.2;
1434000;"Powiat wołomiński";5.7;
1435000;"Powiat wyszkowski";3.4;
1436000;"Powiat zwoleński";12.4;
1437000;"Powiat żuromiński";14.0;
1438000;"Powiat żyrardowski";8.4;
1461000;"City with powiat status Ostrołęka";7.7;
1462000;"City with powiat status Płock";5.4;
1463000;"City with powiat status Radom";9.4;
1464000;"City with powiat status Siedlce";3.5;
1465000;"City with powiat status Capital City Warszawa";1.3;
1600000;"OPOLSKIE";5.9;
1601000;"Powiat brzeski";8.4;
1602000;"Powiat głubczycki";10.3;
1603000;"Powiat kędzierzyńsko-kozielski";7.4;
1604000;"Powiat kluczborski";6.8;
1605000;"Powiat krapkowicki";5.1;
1606000;"Powiat namysłowski";9.1;
1607000;"Powiat nyski";7.3;
1608000;"Powiat oleski";4.5;
1609000;"Powiat opolski";5.7;
1610000;"Powiat prudnicki";9.2;
1611000;"Powiat strzelecki";4.4;
1661000;"City with powiat status Opole";2.9;
1800000;"PODKARPACKIE";8.7;
1801000;"Powiat bieszczadzki";15.5;
1802000;"Powiat brzozowski";20.9;
1803000;"Powiat dębicki";4.7;
1804000;"Powiat jarosławski";10.6;
1805000;"Powiat jasielski";13.3;
1806000;"Powiat kolbuszowski";7.9;
1807000;"Powiat krośnieński";8.3;
1808000;"Powiat leżajski";14.5;
1809000;"Powiat lubaczowski";10.9;
1810000;"Powiat łańcucki";9.5;
1811000;"Powiat mielecki";5.2;
1812000;"Powiat niżański";16.7;
1813000;"Powiat przemyski";15.6;
1814000;"Powiat przeworski";13.5;
1815000;"Powiat ropczycko-sędziszowski";10.3;
1816000;"Powiat rzeszowski";7.6;
1817000;"Powiat sanocki";8.3;
1818000;"Powiat stalowowolski";4.9;
1819000;"Powiat strzyżowski";17.2;
1820000;"Powiat tarnobrzeski";7.4;
1821000;"Powiat leski";19.0;
1861000;"City with powiat status Krosno";2.9;
1862000;"City with powiat status Przemyśl";10.1;
1863000;"City with powiat status Rzeszów";4.0;
1864000;"City with powiat status Tarnobrzeg";7.1;
2000000;"PODLASKIE";7.0;
2001000;"Powiat augustowski";10.4;
2002000;"Powiat białostocki";7.5;
2003000;"Powiat bielski";4.5;
2004000;"Powiat grajewski";11.3;
2005000;"Powiat hajnowski";8.8;
2006000;"Powiat kolneński";15.2;
2007000;"Powiat łomżyński";5.2;
2008000;"Powiat moniecki";7.3;
2009000;"Powiat sejneński";10.7;
2010000;"Powiat siemiatycki";6.4;
2011000;"Powiat sokólski";11.3;
2012000;"Powiat suwalski";5.2;
2013000;"Powiat wysokomazowiecki";7.0;
2014000;"Powiat zambrowski";6.3;
2061000;"City with powiat status Białystok";5.0;
2062000;"City with powiat status Łomża";7.0;
2063000;"City with powiat status Suwałki";5.7;
2200000;"POMORSKIE";4.6;
2201000;"Powiat bytowski";9.3;
2202000;"Powiat chojnicki";8.6;
2203000;"Powiat człuchowski";10.0;
2204000;"Powiat gdański";3.7;
2205000;"Powiat kartuski";2.6;
2206000;"Powiat kościerski";7.4;
2207000;"Powiat kwidzyński";7.1;
2208000;"Powiat lęborski";10.6;
2209000;"Powiat malborski";8.3;
2210000;"Powiat nowodworski";11.4;
2211000;"Powiat pucki";5.8;
2212000;"Powiat słupski";7.4;
2213000;"Powiat starogardzki";5.7;
2214000;"Powiat tczewski";5.9;
2215000;"Powiat wejherowski";5.2;
2216000;"Powiat sztumski";5.3;
2261000;"City with powiat status Gdańsk";2.4;
